100100	2011-04-27	7 2 7								7					2															7			16	2:1
100101	2011-04-28	7 3 0								7						3							0										10	2:1
100102	2011-04-29	2 9 4			2																	9					4						15	1:2
100103	2011-04-30	1 8 9		1																	8											9	18	2:1
100104	2011-05-02	3 3 4				3										3											4						10	2:1
100105	2011-05-03	4 9 6					4															9							6				19	1:2
100106	2011-05-04	1 9 0		1																		9	0										10	2:1
100107	2011-05-05	1 6 8		1															6												8		15	1:2
100108	2011-05-06	9 8 6										9									8								6				23	1:2
100109	2011-05-07	1 0 8		1									0																		8		9	1:2
100110	2011-05-09	2 2 2			2										2										2								6	0:3
100111	2011-05-10	7 4 9								7							4															9	20	2:1
100112	2011-05-11	1 0 8		1									0																		8		9	1:2
100113	2011-05-12	6 9 0							6													9	0										15	1:2
100114	2011-05-13	0 5 9	0															5														9	14	2:1
100115	2011-05-14	6 8 2							6												8				2								16	0:3
100116	2011-05-16	8 3 5									8					3												5					16	2:1
100117	2011-05-17	9 6 2										9							6						2								17	1:2
100118	2011-05-18	3 3 4				3										3											4						10	2:1
100119	2011-05-19	2 6 5			2														6									5					13	1:2
100120	2011-05-20	3 3 9				3										3																9	15	3:0
100121	2011-05-21	3 2 9				3									2																	9	14	2:1
100122	2011-05-23	1 4 1		1													4							1									6	2:1
100123	2011-05-24	9 1 0										9		1									0										10	2:1
100124	2011-05-25	2 4 5			2												4											5					11	1:2
100125	2011-05-26	0 1 1	0											1										1									2	2:1
100126	2011-05-27	8 0 8									8		0																		8		16	0:3
100127	2011-05-28	0 0 5	0										0															5					5	1:2
100128	2011-05-30	8 2 4									8				2												4						14	0:3
100129	2011-05-31	2 6 4			2														6								4						12	0:3
100130	2011-06-01	1 3 3		1												3										3							7	3:0
100131	2011-06-02	0 8 7	0																		8									7			15	1:2
100132	2011-06-03	6 2 1							6						2									1									9	1:2
100133	2011-06-04	6 6 8							6										6												8		20	0:3
100134	2011-06-06	5 6 8						5											6												8		19	1:2
100135	2011-06-07	5 6 0						5											6				0										11	1:2
100136	2011-06-08	9 8 5										9									8							5					22	2:1
100137	2011-06-09	6 3 1							6							3								1									10	2:1
100138	2011-06-10	6 7 7							6											7										7			20	2:1
100139	2011-06-11	8 7 1									8									7				1									16	2:1
100140	2011-06-13	4 3 6					4									3													6				13	1:2
100141	2011-06-14	4 2 7					4								2															7			13	1:2
100142	2011-06-15	3 5 8				3												5													8		16	2:1
100143	2011-06-16	6 1 6							6					1															6				13	1:2
100144	2011-06-17	8 0 4									8		0														4						12	0:3
100145	2011-06-18	3 0 3				3							0													3							6	2:1
100146	2011-06-20	7 6 5								7									6									5					18	2:1
100147	2011-06-21	4 5 6					4											5											6				15	1:2
100148	2011-06-22	2 9 8			2																	9									8		19	1:2
100149	2011-06-23	4 7 0					4													7			0										11	1:2
100150	2011-06-24	0 0 6	0										0																6				6	0:3
100151	2011-06-25	8 3 8									8					3															8		19	1:2
100152	2011-06-27	1 5 8		1														5													8		14	2:1
100153	2011-06-28	2 3 3			2											3										3							8	2:1
100154	2011-06-29	6 4 8							6								4														8		18	0:3
100155	2011-06-30	5 8 5						5													8							5					18	2:1
100156	2011-07-01	3 9 2				3																9			2								14	2:1
100157	2011-07-02	9 2 5										9			2													5					16	2:1
100158	2011-07-04	1 6 2		1															6						2								9	1:2
100159	2011-07-05	1 2 6		1											2														6				9	1:2
100160	2011-07-06	0 7 6	0																	7									6				13	1:2
100161	2011-07-07	8 3 0									8					3							0										11	1:2
100162	2011-07-08	0 1 6	0											1															6				7	1:2
100163	2011-07-09	6 7 3							6											7						3							16	2:1
100164	2011-07-11	9 7 5										9								7								5					21	3:0
100165	2011-07-12	7 3 0								7						3							0										10	2:1
100166	2011-07-13	5 8 1						5													8			1									14	2:1
100167	2011-07-14	9 7 9										9								7												9	25	3:0
100168	2011-07-15	3 0 2				3							0												2								5	1:2
100169	2011-07-16	1 4 6		1													4												6				11	1:2
100170	2011-07-18	9 0 9										9	0																			9	18	2:1
100171	2011-07-19	9 4 6										9					4												6				19	1:2
100172	2011-07-20	3 4 1				3											4							1									8	2:1
100173	2011-07-21	0 4 9	0														4															9	13	1:2
100174	2011-07-22	2 8 5			2																8							5					15	1:2
100175	2011-07-23	4 5 5					4											5										5					14	2:1
100176	2011-07-25	6 1 6							6					1															6				13	1:2
100177	2011-07-26	8 8 2									8										8				2								18	0:3
100178	2011-07-27	0 0 3	0										0													3							3	1:2
100179	2011-07-28	9 3 0										9				3							0										12	2:1
100180	2011-07-29	3 7 8				3														7											8		18	2:1
100181	2011-07-30	8 8 9									8										8											9	25	1:2
100182	2011-08-01	0 5 3	0															5								3							8	2:1
100183	2011-08-02	1 0 1		1									0											1									2	2:1
100184	2011-08-03	6 2 4							6						2												4						12	0:3
100185	2011-08-04	5 9 7						5														9								7			21	3:0
100186	2011-08-05	6 9 7							6													9								7			22	2:1
100187	2011-08-06	8 8 8									8										8										8		24	0:3
100188	2011-08-08	8 6 4									8								6								4						18	0:3
100189	2011-08-09	3 4 7				3											4													7			14	2:1
100190	2011-08-10	0 8 9	0																		8											9	17	1:2
100191	2011-08-11	9 9 1										9										9		1									19	3:0
100192	2011-08-12	2 1 8			2									1																	8		11	1:2
100193	2011-08-13	4 8 6					4														8								6				18	0:3
100194	2011-08-15	6 2 4							6						2												4						12	0:3
100195	2011-08-16	5 2 1						5							2									1									8	2:1
100196	2011-08-17	6 6 3							6										6							3							15	1:2
100197	2011-08-18	9 9 4										9										9					4						22	2:1
100198	2011-08-19	6 9 8							6													9									8		23	1:2
100199	2011-08-20	8 3 0									8					3							0										11	1:2
100200	2011-08-22	4 7 7					4													7										7			18	2:1
100201	2011-08-23	4 0 7					4						0																	7			11	1:2
100202	2011-08-24	7 0 1								7			0											1									8	2:1
100203	2011-08-25	2 4 2			2												4								2								8	0:3
100204	2011-08-26	0 2 5	0												2													5					7	1:2
100205	2011-08-27	9 6 8										9							6												8		23	1:2
100206	2011-08-29	2 5 5			2													5										5					12	2:1
100207	2011-08-30	0 5 2	0															5							2								7	1:2
